split,seq_id,pdb_id,chain_id,n_residues,len_seq,nchain,rez,met1,mthm,tm_type,bio_name,seq_equal_xml,feature_path
train,1bl8__C,1bl8,C,97,97,4,3.2,x-ray diffraction,2.0,alpha,protein (potassium channel protein),1,features/protein_v4/pt/1bl8/1bl8_protein.pt
train,1bl8__D,1bl8,D,97,97,4,3.2,x-ray diffraction,2.0,alpha,protein (potassium channel protein),1,features/protein_v4/pt/1bl8/1bl8_protein.pt
train,1brr__A,1brr,A,230,230,3,2.9,x-ray diffraction,7.0,alpha,protein (bacteriorhodopsin),0,features/protein_v4/pt/1brr/1brr_protein.pt
train,1brr__B,1brr,B,231,231,3,2.9,x-ray diffraction,7.0,alpha,protein (bacteriorhodopsin),0,features/protein_v4/pt/1brr/1brr_protein.pt
train,1brr__C,1brr,C,232,232,3,2.9,x-ray diffraction,7.0,alpha,protein (bacteriorhodopsin),0,features/protein_v4/pt/1brr/1brr_protein.pt
train,1brx__A,1brx,A,209,209,3,2.3,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1brx/1brx_protein.pt
train,1brx__B,1brx,B,209,209,3,2.3,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1brx/1brx_protein.pt
train,1brx__C,1brx,C,209,209,3,2.3,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1brx/1brx_protein.pt
train,1c3w__A,1c3w,A,222,222,3,1.55,x-ray diffraction,7.0,alpha,"bacteriorhodopsin (ground state wild type ""br"")",1,features/protein_v4/pt/1c3w/1c3w_protein.pt
train,1c3w__B,1c3w,B,222,222,3,1.55,x-ray diffraction,7.0,alpha,,1,features/protein_v4/pt/1c3w/1c3w_protein.pt
train,1c3w__C,1c3w,C,222,222,3,1.55,x-ray diffraction,7.0,alpha,,1,features/protein_v4/pt/1c3w/1c3w_protein.pt
train,1c8s__A,1c8s,A,196,196,3,2.0,x-ray diffraction,7.0,alpha,"bacteriorhodopsin (""m"" state intermediate)",1,features/protein_v4/pt/1c8s/1c8s_protein.pt
train,1c8s__B,1c8s,B,196,196,3,2.0,x-ray diffraction,7.0,alpha,,1,features/protein_v4/pt/1c8s/1c8s_protein.pt
train,1c8s__C,1c8s,C,196,196,3,2.0,x-ray diffraction,7.0,alpha,,1,features/protein_v4/pt/1c8s/1c8s_protein.pt
train,1cwq__A,1cwq,A,238,238,3,2.25,x-ray diffraction,7.0,alpha,"bacteriorhodopsin (""m"" state intermediate in combination with ground state)",0,features/protein_v4/pt/1cwq/1cwq_protein.pt
train,1cwq__C,1cwq,C,238,238,3,2.25,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1cwq/1cwq_protein.pt
train,1cwq__E,1cwq,E,238,238,3,2.25,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1cwq/1cwq_protein.pt
train,1ds8__L,1ds8,L,281,281,3,2.5,x-ray diffraction,5.0,alpha,reaction center protein l chain,1,features/protein_v4/pt/1ds8/1ds8_protein.pt
train,1ds8__M,1ds8,M,299,299,3,2.5,x-ray diffraction,5.0,alpha,reaction center protein m chain,0,features/protein_v4/pt/1ds8/1ds8_protein.pt
train,1dv3__L,1dv3,L,281,281,3,2.5,x-ray diffraction,5.0,alpha,photosynthetic reaction center reaction center,1,features/protein_v4/pt/1dv3/1dv3_protein.pt
train,1dv3__M,1dv3,M,299,299,3,2.5,x-ray diffraction,5.0,alpha,photosynthetic reaction center reaction center,0,features/protein_v4/pt/1dv3/1dv3_protein.pt
train,1dv6__L,1dv6,L,281,281,3,2.5,x-ray diffraction,5.0,alpha,photosynthetic reaction center,1,features/protein_v4/pt/1dv6/1dv6_protein.pt
train,1dv6__M,1dv6,M,299,299,3,2.5,x-ray diffraction,5.0,alpha,photosynthetic reaction center,0,features/protein_v4/pt/1dv6/1dv6_protein.pt
train,1dxr__L,1dxr,L,273,273,4,2.0,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1dxr/1dxr_protein.pt
train,1dxr__M,1dxr,M,323,323,4,2.0,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,1,features/protein_v4/pt/1dxr/1dxr_protein.pt
train,1dze__A,1dze,A,225,225,3,2.5,x-ray diffraction,7.0,alpha,bacteriorhodopsin (m intermediate),0,features/protein_v4/pt/1dze/1dze_protein.pt
train,1dze__C,1dze,C,225,225,3,2.5,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1dze/1dze_protein.pt
train,1dze__D,1dze,D,225,225,3,2.5,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1dze/1dze_protein.pt
train,1e0p__A,1e0p,A,228,228,3,2.1,x-ray diffraction,7.0,alpha,"bacteriorhodopsin, ground state",1,features/protein_v4/pt/1e0p/1e0p_protein.pt
train,1e0p__B,1e0p,B,228,228,3,2.1,x-ray diffraction,7.0,alpha,,1,features/protein_v4/pt/1e0p/1e0p_protein.pt
train,1e0p__C,1e0p,C,228,228,3,2.1,x-ray diffraction,7.0,alpha,,1,features/protein_v4/pt/1e0p/1e0p_protein.pt
train,1e12__A,1e12,A,239,239,3,1.8,x-ray diffraction,7.0,alpha,halorhodopsin,0,features/protein_v4/pt/1e12/1e12_protein.pt
train,1e12__C,1e12,C,239,239,3,1.8,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1e12/1e12_protein.pt
train,1e12__D,1e12,D,239,239,3,1.8,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1e12/1e12_protein.pt
train,1e14__L,1e14,L,281,281,3,2.7,x-ray diffraction,5.0,alpha,reaction center protein l chain,1,features/protein_v4/pt/1e14/1e14_protein.pt
train,1e14__M,1e14,M,303,303,3,2.7,x-ray diffraction,5.0,alpha,reaction center protein m chain,0,features/protein_v4/pt/1e14/1e14_protein.pt
train,1e6d__L,1e6d,L,281,281,3,2.3,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1e6d/1e6d_protein.pt
train,1e6d__M,1e6d,M,302,302,3,2.3,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,0,features/protein_v4/pt/1e6d/1e6d_protein.pt
train,1e7p__C,1e7p,C,254,254,6,3.1,x-ray diffraction,5.0,alpha,fumarate reductase cytochrome b subunit,0,features/protein_v4/pt/1e7p/1e7p_protein.pt
train,1e7p__F,1e7p,F,254,254,6,3.1,x-ray diffraction,5.0,alpha,fumarate reductase cytochrome b subunit,0,features/protein_v4/pt/1e7p/1e7p_protein.pt
train,1ehk__A,1ehk,A,544,544,3,2.4,x-ray diffraction,13.0,alpha,ba3-type cytochrome-c oxidase,0,features/protein_v4/pt/1ehk/1ehk_protein.pt
train,1eys__L,1eys,L,280,280,4,2.2,x-ray diffraction,5.0,alpha,photosynthetic reaction center,1,features/protein_v4/pt/1eys/1eys_protein.pt
train,1eys__M,1eys,M,318,318,4,2.2,x-ray diffraction,5.0,alpha,photosynthetic reaction center,0,features/protein_v4/pt/1eys/1eys_protein.pt
train,1ezv__C,1ezv,C,385,385,20,2.3,x-ray diffraction,8.0,alpha,cytochrome b,1,features/protein_v4/pt/1ezv/1ezv_protein.pt
train,1ezv__L,1ezv,L,385,385,20,2.3,x-ray diffraction,8.0,alpha,,1,features/protein_v4/pt/1ezv/1ezv_protein.pt
train,1f4z__A,1f4z,A,222,222,3,1.8,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1f4z/1f4z_protein.pt
train,1f4z__B,1f4z,B,222,222,3,1.8,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1f4z/1f4z_protein.pt
train,1f4z__C,1f4z,C,222,222,3,1.8,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1f4z/1f4z_protein.pt
train,1f50__A,1f50,A,222,222,3,1.7,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1f50/1f50_protein.pt
train,1f50__B,1f50,B,222,222,3,1.7,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1f50/1f50_protein.pt
train,1f50__C,1f50,C,222,222,3,1.7,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1f50/1f50_protein.pt
train,1f6n__L,1f6n,L,281,281,3,2.8,x-ray diffraction,5.0,alpha,reaction center protein l chain,1,features/protein_v4/pt/1f6n/1f6n_protein.pt
train,1f6n__M,1f6n,M,302,302,3,2.8,x-ray diffraction,5.0,alpha,reaction center protein m chain,0,features/protein_v4/pt/1f6n/1f6n_protein.pt
train,1fbb__A,1fbb,A,224,224,3,3.2,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1fbb/1fbb_protein.pt
train,1fbb__B,1fbb,B,224,224,3,3.2,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1fbb/1fbb_protein.pt
train,1fbb__C,1fbb,C,224,224,3,3.2,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1fbb/1fbb_protein.pt
train,1fbk__A,1fbk,A,225,225,3,3.2,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1fbk/1fbk_protein.pt
train,1fbk__B,1fbk,B,225,225,3,3.2,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1fbk/1fbk_protein.pt
train,1fbk__C,1fbk,C,225,225,3,3.2,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1fbk/1fbk_protein.pt
train,1fnp__L,1fnp,L,281,281,3,2.6,x-ray diffraction,5.0,alpha,reaction center protein l chain,1,features/protein_v4/pt/1fnp/1fnp_protein.pt
train,1fnp__M,1fnp,M,301,301,3,2.6,x-ray diffraction,5.0,alpha,reaction center protein m chain,0,features/protein_v4/pt/1fnp/1fnp_protein.pt
train,1fnq__L,1fnq,L,281,281,3,2.6,x-ray diffraction,5.0,alpha,reaction center protein l chain,1,features/protein_v4/pt/1fnq/1fnq_protein.pt
train,1fnq__M,1fnq,M,302,302,3,2.6,x-ray diffraction,5.0,alpha,reaction center protein m chain,0,features/protein_v4/pt/1fnq/1fnq_protein.pt
train,1fx8__A,1fx8,A,254,254,4,2.2,x-ray diffraction,6.0,alpha,glycerol uptake facilitator protein,0,features/protein_v4/pt/1fx8/1fx8_protein.pt
train,1fx8__B,1fx8,B,254,254,4,2.2,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1fx8/1fx8_protein.pt
train,1fx8__C,1fx8,C,254,254,4,2.2,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1fx8/1fx8_protein.pt
train,1fx8__D,1fx8,D,254,254,4,2.2,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1fx8/1fx8_protein.pt
train,1h2s__A,1h2s,A,225,225,4,1.93,x-ray diffraction,7.0,alpha,sensory rhodopsin ii,1,features/protein_v4/pt/1h2s/1h2s_protein.pt
train,1h2s__B,1h2s,B,60,60,4,1.93,x-ray diffraction,2.0,alpha,sensory rhodopsin ii transducer,1,features/protein_v4/pt/1h2s/1h2s_protein.pt
train,1h2s__C,1h2s,C,225,225,4,1.93,x-ray diffraction,7.0,alpha,,1,features/protein_v4/pt/1h2s/1h2s_protein.pt
train,1h2s__D,1h2s,D,60,60,4,1.93,x-ray diffraction,2.0,alpha,,1,features/protein_v4/pt/1h2s/1h2s_protein.pt
train,1iw6__A,1iw6,A,227,227,3,2.3,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1iw6/1iw6_protein.pt
train,1iw6__C,1iw6,C,227,227,3,2.3,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1iw6/1iw6_protein.pt
train,1iw6__D,1iw6,D,227,227,3,2.3,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1iw6/1iw6_protein.pt
train,1iw9__A,1iw9,A,227,227,3,2.5,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1iw9/1iw9_protein.pt
train,1iw9__C,1iw9,C,227,227,3,2.5,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1iw9/1iw9_protein.pt
train,1iw9__D,1iw9,D,227,227,3,2.5,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1iw9/1iw9_protein.pt
train,1ixf__A,1ixf,A,227,227,3,2.6,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1ixf/1ixf_protein.pt
train,1ixf__C,1ixf,C,227,227,3,2.6,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1ixf/1ixf_protein.pt
train,1ixf__D,1ixf,D,227,227,3,2.6,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1ixf/1ixf_protein.pt
train,1j4n__A,1j4n,A,249,249,4,2.2,x-ray diffraction,6.0,alpha,aquaporin 1,0,features/protein_v4/pt/1j4n/1j4n_protein.pt
train,1j4n__B,1j4n,B,249,249,4,2.2,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1j4n/1j4n_protein.pt
train,1j4n__C,1j4n,C,249,249,4,2.2,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1j4n/1j4n_protein.pt
train,1j4n__D,1j4n,D,249,249,4,2.2,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1j4n/1j4n_protein.pt
train,1j95__A,1j95,A,98,98,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1j95/1j95_protein.pt
train,1j95__B,1j95,B,98,98,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1j95/1j95_protein.pt
train,1j95__C,1j95,C,98,98,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1j95/1j95_protein.pt
train,1j95__D,1j95,D,98,98,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1j95/1j95_protein.pt
train,1jb0__A,1jb0,A,740,740,12,2.5,x-ray diffraction,11.0,alpha,photosystem i p700 chlorophyll a apoprotein a1,0,features/protein_v4/pt/1jb0/1jb0_protein.pt
train,1jb0__B,1jb0,B,739,739,12,2.5,x-ray diffraction,11.0,alpha,photosystem i p700 chlorophyll a apoprotein a2,0,features/protein_v4/pt/1jb0/1jb0_protein.pt
train,1jb0__K,1jb0,K,46,46,12,2.5,x-ray diffraction,2.0,alpha,photosystem 1 reaction centre subunit x,0,features/protein_v4/pt/1jb0/1jb0_protein.pt
train,1jb0__L,1jb0,L,151,151,12,2.5,x-ray diffraction,3.0,alpha,photosystem 1 reaction centre subunit xi,0,features/protein_v4/pt/1jb0/1jb0_protein.pt
train,1jgw__L,1jgw,L,281,281,3,2.8,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1jgw/1jgw_protein.pt
train,1jgw__M,1jgw,M,302,302,3,2.8,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,0,features/protein_v4/pt/1jgw/1jgw_protein.pt
train,1jgx__L,1jgx,L,281,281,3,3.01,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1jgx/1jgx_protein.pt
train,1jgx__M,1jgx,M,302,302,3,3.01,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,0,features/protein_v4/pt/1jgx/1jgx_protein.pt
train,1jgy__L,1jgy,L,281,281,3,2.7,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1jgy/1jgy_protein.pt
train,1jgy__M,1jgy,M,302,302,3,2.7,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,0,features/protein_v4/pt/1jgy/1jgy_protein.pt
train,1jgz__L,1jgz,L,281,281,3,2.7,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1jgz/1jgz_protein.pt
train,1jgz__M,1jgz,M,302,302,3,2.7,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,0,features/protein_v4/pt/1jgz/1jgz_protein.pt
train,1jvm__A,1jvm,A,97,97,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1jvm/1jvm_protein.pt
train,1jvm__B,1jvm,B,100,100,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1jvm/1jvm_protein.pt
train,1jvm__C,1jvm,C,97,97,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1jvm/1jvm_protein.pt
train,1jvm__D,1jvm,D,100,100,4,2.8,x-ray diffraction,2.0,alpha,voltage-gated potassium channel,0,features/protein_v4/pt/1jvm/1jvm_protein.pt
train,1k4c__C,1k4c,C,103,103,4,2.0,x-ray diffraction,2.0,alpha,potassium channel kcsa,0,features/protein_v4/pt/1k4c/1k4c_protein.pt
train,1k4c__F,1k4c,F,103,103,4,2.0,x-ray diffraction,2.0,alpha,,0,features/protein_v4/pt/1k4c/1k4c_protein.pt
train,1k4c__I,1k4c,I,103,103,4,2.0,x-ray diffraction,2.0,alpha,,0,features/protein_v4/pt/1k4c/1k4c_protein.pt
train,1k4c__L,1k4c,L,103,103,4,2.0,x-ray diffraction,2.0,alpha,,0,features/protein_v4/pt/1k4c/1k4c_protein.pt
train,1k4d__C,1k4d,C,103,103,4,2.3,x-ray diffraction,2.0,alpha,potassium channel kcsa,0,features/protein_v4/pt/1k4d/1k4d_protein.pt
train,1k4d__F,1k4d,F,103,103,4,2.3,x-ray diffraction,2.0,alpha,,0,features/protein_v4/pt/1k4d/1k4d_protein.pt
train,1k4d__I,1k4d,I,103,103,4,2.3,x-ray diffraction,2.0,alpha,,0,features/protein_v4/pt/1k4d/1k4d_protein.pt
train,1k4d__L,1k4d,L,103,103,4,2.3,x-ray diffraction,2.0,alpha,,0,features/protein_v4/pt/1k4d/1k4d_protein.pt
train,1k6l__L,1k6l,L,281,281,3,3.1,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1k6l/1k6l_protein.pt
train,1k6l__M,1k6l,M,302,302,3,3.1,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,0,features/protein_v4/pt/1k6l/1k6l_protein.pt
train,1k6n__L,1k6n,L,281,281,3,3.1,x-ray diffraction,5.0,alpha,photosynthetic reaction center l subunit,1,features/protein_v4/pt/1k6n/1k6n_protein.pt
train,1k6n__M,1k6n,M,302,302,3,3.1,x-ray diffraction,5.0,alpha,photosynthetic reaction center m subunit,0,features/protein_v4/pt/1k6n/1k6n_protein.pt
train,1kb9__C,1kb9,C,385,385,9,2.3,x-ray diffraction,8.0,alpha,cytochrome b,1,features/protein_v4/pt/1kb9/1kb9_protein.pt
train,1kby__L,1kby,L,281,281,3,2.5,x-ray diffraction,5.0,alpha,photosynthetic reaction center protein l chain,1,features/protein_v4/pt/1kby/1kby_protein.pt
train,1kby__M,1kby,M,302,302,3,2.5,x-ray diffraction,5.0,alpha,photosynthetic reaction center protein m chain,0,features/protein_v4/pt/1kby/1kby_protein.pt
train,1kf6__C,1kf6,C,130,130,8,2.7,x-ray diffraction,3.0,alpha,fumarate reductase 15 kda hydrophobic protein,1,features/protein_v4/pt/1kf6/1kf6_protein.pt
train,1kf6__D,1kf6,D,119,119,8,2.7,x-ray diffraction,3.0,alpha,fumarate reductase 13 kda hydrophobic protein,1,features/protein_v4/pt/1kf6/1kf6_protein.pt
train,1kf6__O,1kf6,O,130,130,8,2.7,x-ray diffraction,3.0,alpha,fumarate reductase 15 kda hydrophobic protein,1,features/protein_v4/pt/1kf6/1kf6_protein.pt
train,1kf6__P,1kf6,P,119,119,8,2.7,x-ray diffraction,3.0,alpha,fumarate reductase 13 kda hydrophobic protein,1,features/protein_v4/pt/1kf6/1kf6_protein.pt
train,1kg8__A,1kg8,A,216,216,3,2.0,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1kg8/1kg8_protein.pt
train,1kg8__B,1kg8,B,216,216,3,2.0,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1kg8/1kg8_protein.pt
train,1kg8__C,1kg8,C,216,216,3,2.0,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1kg8/1kg8_protein.pt
train,1kg9__A,1kg9,A,221,221,3,1.81,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1kg9/1kg9_protein.pt
train,1kg9__B,1kg9,B,221,221,3,1.81,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1kg9/1kg9_protein.pt
train,1kg9__C,1kg9,C,221,221,3,1.81,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1kg9/1kg9_protein.pt
train,1kgb__A,1kgb,A,222,222,3,1.65,x-ray diffraction,7.0,alpha,bacteriorhodopsin,0,features/protein_v4/pt/1kgb/1kgb_protein.pt
train,1kgb__B,1kgb,B,222,222,3,1.65,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1kgb/1kgb_protein.pt
train,1kgb__C,1kgb,C,222,222,3,1.65,x-ray diffraction,7.0,alpha,,0,features/protein_v4/pt/1kgb/1kgb_protein.pt
train,1kpl__A,1kpl,A,430,430,2,3.0,x-ray diffraction,10.0,alpha,"putative clc family, chlorine transport protein",0,features/protein_v4/pt/1kpl/1kpl_protein.pt
train,1kpl__B,1kpl,B,451,451,2,3.0,x-ray diffraction,10.0,alpha,"putative clc family, chlorine transport protein",0,features/protein_v4/pt/1kpl/1kpl_protein.pt
train,1kyo__C,1kyo,C,385,385,23,2.97,x-ray diffraction,8.0,alpha,cytochrome b,1,features/protein_v4/pt/1kyo/1kyo_protein.pt
train,1kyo__N,1kyo,N,385,385,23,2.97,x-ray diffraction,8.0,alpha,cytochrome b,1,features/protein_v4/pt/1kyo/1kyo_protein.pt
train,1l0l__C,1l0l,C,377,377,11,2.35,x-ray diffraction,8.0,alpha,cytochrome b,0,features/protein_v4/pt/1l0l/1l0l_protein.pt
train,1l0n__C,1l0n,C,377,377,11,2.6,x-ray diffraction,8.0,alpha,cytochrome b,0,features/protein_v4/pt/1l0n/1l0n_protein.pt
train,1l0v__C,1l0v,C,130,130,8,3.3,x-ray diffraction,3.0,alpha,fumarate reductase 15 kda hydrophobic protein,1,features/protein_v4/pt/1l0v/1l0v_protein.pt
train,1l0v__D,1l0v,D,119,119,8,3.3,x-ray diffraction,3.0,alpha,fumarate reductase 13 kda hydrophobic protein,1,features/protein_v4/pt/1l0v/1l0v_protein.pt
train,1l0v__O,1l0v,O,130,130,8,3.3,x-ray diffraction,3.0,alpha,fumarate reductase 15 kda hydrophobic protein,1,features/protein_v4/pt/1l0v/1l0v_protein.pt
train,1l0v__P,1l0v,P,119,119,8,3.3,x-ray diffraction,3.0,alpha,fumarate reductase 13 kda hydrophobic protein,1,features/protein_v4/pt/1l0v/1l0v_protein.pt
train,1l7v__A,1l7v,A,324,324,4,3.2,x-ray diffraction,10.0,alpha,vitamin b12 transport system permease protein btuc,0,features/protein_v4/pt/1l7v/1l7v_protein.pt
train,1l7v__B,1l7v,B,324,324,4,3.2,x-ray diffraction,10.0,alpha,vitamin b12 transport system permease protein btuc,0,features/protein_v4/pt/1l7v/1l7v_protein.pt
train,1l9b__L,1l9b,L,281,281,4,2.4,x-ray diffraction,5.0,alpha,reaction center protein l chain,1,features/protein_v4/pt/1l9b/1l9b_protein.pt
train,1l9b__M,1l9b,M,267,267,4,2.4,x-ray diffraction,5.0,alpha,reaction center protein m chain,0,features/protein_v4/pt/1l9b/1l9b_protein.pt
train,1l9j__L,1l9j,L,281,281,4,3.25,x-ray diffraction,5.0,alpha,reaction center protein l chain,1,features/protein_v4/pt/1l9j/1l9j_protein.pt
train,1l9j__M,1l9j,M,267,267,4,3.25,x-ray diffraction,5.0,alpha,reaction center protein m chain,0,features/protein_v4/pt/1l9j/1l9j_protein.pt
train,1lda__A,1lda,A,254,254,4,2.8,x-ray diffraction,6.0,alpha,glycerol uptake facilitator protein,0,features/protein_v4/pt/1lda/1lda_protein.pt
train,1lda__B,1lda,B,254,254,4,2.8,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1lda/1lda_protein.pt
train,1lda__C,1lda,C,254,254,4,2.8,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1lda/1lda_protein.pt
train,1lda__D,1lda,D,254,254,4,2.8,x-ray diffraction,6.0,alpha,,0,features/protein_v4/pt/1lda/1lda_protein.pt
