pdb_id,split,component_id,n_chains,n_clusters,clusters
1l0n,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1l0v,val,11,8,4,1kf6__C;1kf6__D;4ysx__A;5xmj__N
1l7v,test,8,4,2,2qi9__C;4g1u__B
1l9b,test,2,4,3,1aig__L;1l9j__C;8zk2__H
1l9j,test,2,4,3,1aig__L;1l9j__C;8zk2__H
1lda,train,43,4,1,3c02__A
1ldf,train,43,4,1,3c02__A
1ldi,train,43,4,1,3c02__A
1lgh,test,2,16,2,1lgh__A;6zxa__B
1lnq,train,70,4,1,6u68__A
1m0k,test,3,3,1,8rss__A
1m0l,test,3,3,1,8rss__A
1m0m,test,3,3,1,8rss__A
1m3x,test,2,3,2,1aig__L;8zk2__H
1m56,train,0,4,4,1fft__A;1occ__B;7ate__D;7jro__c
1m57,train,0,4,4,1fft__A;1occ__B;7ate__D;7jro__c
1mhs,train,234,2,1,5ksd__A
1mps,test,2,3,2,1aig__L;8zk2__H
1nek,val,11,6,4,1nek__C;1nek__D;4ysx__A;6lum__Q
1nen,val,11,12,4,1nek__C;1nek__D;4ysx__A;6lum__Q
1nkz,test,2,18,2,1kzu__B;8z81__a
1ntk,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1ntm,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1ntz,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1nu1,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1nyj,train,57,4,1,2ly0__A
1o0a,test,3,3,1,8rss__A
1occ,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
1oco,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
1ocr,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
1ocz,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
1oed,train,549,5,1,1oed__D
1ogv,test,2,3,2,1aig__L;8zk2__H
1orq,train,386,4,1,1orq__C
1ots,val,13,2,1,6lsc__B
1ott,val,13,2,1,6lsc__B
1otu,val,13,2,1,6lsc__B
1oy6,train,0,3,1,7cz9__C
1oy8,train,0,3,1,7cz9__C
1oy9,train,0,3,1,7cz9__C
1oyd,train,0,3,1,7cz9__C
1oye,train,0,3,1,7cz9__C
1p7b,train,0,4,1,2qks__A
1p84,train,0,20,11,1ezv__B;3cwb__C;3cx5__D;3cx5__G;5eul__V;7jrg__H;7rja__F;7rje__A;8ab6__I;8asi__E;8dwy__L
1p8h,test,3,3,1,8rss__A
1p8i,test,3,3,1,8rss__A
1p8u,test,3,3,1,8rss__A
1pcr,test,2,3,2,1aig__L;8zk2__H
1pp9,train,0,20,10,1l0l__H;3cwb__C;3cx5__D;5okd__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1ppj,train,0,20,11,1l0l__H;1ppj__J;3cwb__C;3cx5__D;5okd__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1prc,test,2,4,3,1aig__L;7c9r__C;8zk2__H
1pss,test,2,3,2,1aig__L;8zk2__H
1pst,test,2,3,2,1aig__L;8zk2__H
1pxr,test,3,3,1,8rss__A
1pxs,test,3,3,1,8rss__A
1py6,test,3,3,1,8rss__A
1q16,train,105,6,3,1q16__B;3egw__C;3ir6__D
1q5i,test,3,3,1,8rss__A
1q5j,test,3,3,1,8rss__A
1q90,train,49,18,9,1q90__H;1q90__J;1q90__O;2e74__B;2e74__H;2zt9__G;6rqf__K;7r0w__I;7zyv__F
1qcr,train,0,11,11,1l0l__H;1qcr__D;1qcr__I;1sqq__K;3cwb__C;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1qhj,test,3,3,1,8rss__A
1qko,test,3,3,1,8rss__A
1qkp,test,3,3,1,8rss__A
1qlb,val,11,6,3,4ysx__A;5xmj__N;5xmj__O
1qle,train,0,4,4,1fft__A;1occ__B;7ate__D;7jro__c
1qm8,test,3,3,1,8rss__A
1qo1,val,1,18,5,1a91__A;1qo1__G;6rd4__T;6rd4__X;9itj__R
1qov,test,2,3,2,1aig__L;8zk2__H
1r2c,test,2,4,3,1aig__L;7c9r__C;8zk2__H
1r3i,val,6,4,1,4msw__C
1r3j,val,6,4,1,4msw__C
1r3k,val,6,4,1,4msw__C
1r3l,val,6,4,1,4msw__C
1rg5,test,2,3,2,1aig__L;8zk2__H
1rgn,test,2,3,2,1aig__L;8zk2__H
1rh5,train,0,3,3,1rh5__C;1rhz__B;8dnz__A
1rhz,train,0,3,3,1rh5__C;1rhz__B;8dnz__A
1rqk,test,2,3,2,1aig__L;8zk2__H
1rvj,test,2,3,2,1aig__L;8zk2__H
1rwt,train,0,3,1,8j5k__5
1ry5,test,2,3,2,1aig__L;8zk2__H
1rzh,test,2,3,2,1aig__L;8zk2__H
1rzz,test,2,3,2,1aig__L;8zk2__H
1s00,test,2,3,2,1aig__L;8zk2__H
1s51,test,3,3,1,8rss__A
1s53,test,3,3,1,8rss__A
1s54,test,3,3,1,8rss__A
1s5h,val,6,4,1,4msw__C
1s5l,train,0,36,18,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;6kac__X;7n8o__L;7n8o__V;7pi0__M;8eqm__t;8eqm__u;8kde__D;8wb4__Z;8wb4__o;8xr6__J
1siw,train,105,6,3,1q16__B;3egw__C;3ir6__D
1sor,train,0,4,1,5i32__A
1sqb,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1sqp,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1sqq,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1sqv,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1sqx,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
1t9t,train,0,3,1,7cz9__C
1t9u,train,0,3,1,7cz9__C
1t9v,train,0,3,1,7cz9__C
1t9w,train,0,3,1,7cz9__C
1t9x,train,0,3,1,7cz9__C
1t9y,train,0,3,1,7cz9__C
1tn0,test,3,3,1,8rss__A
1tn5,test,3,3,1,8rss__A
1u77,train,15,3,1,2b2f__A
1u7c,train,15,3,1,2b2f__A
1u7g,train,15,3,1,2b2f__A
1uaz,test,3,3,1,8rss__A
1ucq,test,3,3,1,8rss__A
1umx,test,2,3,2,1aig__L;8zk2__H
1v54,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
1v55,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
1vf5,train,49,16,8,1vf5__E;1vf5__G;1vf5__S;2e74__B;2e74__H;6rqf__K;7r0w__D;7r0w__I
1vgo,test,3,3,1,8rss__A
1vjm,test,3,3,1,8rss__A
1vrn,test,2,4,3,1aig__L;7c9r__C;8zk2__H
1w5c,train,0,14,7,1w5c__F;2axt__E;5v2c__b;5v2c__c;6kac__A;7n8o__V;8kde__D
1x0s,test,3,3,1,8rss__A
1xfh,train,0,3,1,9bh0__A
1xio,test,3,2,1,8rss__A
1xl4,train,0,4,1,2qks__A
1xl6,train,0,4,1,2qks__A
1xme,train,23,3,3,1ehk__C;1xme__A;7deg__E
1xqe,train,15,3,1,2b2f__A
1xqf,train,15,3,1,2b2f__A
1y4z,train,105,6,3,1q16__B;3egw__C;3ir6__D
1y5i,train,105,6,3,1q16__B;3egw__C;3ir6__D
1y5l,train,105,6,3,1q16__B;3egw__C;3ir6__D
1y5n,train,105,6,3,1q16__B;3egw__C;3ir6__D
1yce,val,1,11,1,2wie__A
1yew,train,39,9,3,1yew__A;4phz__B;7s4m__G
1yf6,test,2,3,2,1aig__L;8zk2__H
1ymg,train,0,4,1,5i32__A
1yq3,val,11,4,4,1yq3__C;1yq3__D;4ysx__A;6lum__Q
1yq4,val,11,4,4,1yq3__C;1yq3__D;4ysx__A;6lum__Q
1yst,test,2,3,2,1aig__L;8zk2__H
1z98,train,0,4,1,5i32__A
1z9j,test,2,3,2,1aig__L;8zk2__H
1z9k,test,2,3,2,1aig__L;8zk2__H
1zcd,train,129,2,1,4atv__A
1zll,train,233,5,1,1n7l__A
1zoy,val,11,4,4,1yq3__C;1yq3__D;4ysx__A;6lum__Q
1zp0,val,11,4,4,1yq3__C;1yq3__D;4ysx__A;6lum__Q
1zrt,train,0,6,3,3cwb__C;3cx5__D;8asi__E
1zwi,val,6,4,1,4msw__C
2a06,train,0,20,11,1l0l__H;1ppj__J;3cwb__C;3cx5__D;5okd__I;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
2a65,train,18,2,1,6yu7__A
2a79,val,6,8,2,2a79__B;7wf3__C
2a9h,val,6,5,2,4jtc__Y;4msw__C
2abm,train,0,4,1,5i32__A
2acz,val,11,12,4,1nek__C;1nek__D;4ysx__A;6lum__Q
2ahy,train,14,4,1,2ahz__A
2ahz,train,14,4,1,2ahz__A
2akh,train,0,6,3,2akh__X;2akh__Z;3din__C
2aki,train,0,6,3,2akh__X;2akh__Z;3din__C
2at9,test,3,3,1,8rss__A
2atk,val,6,4,1,4msw__C
2axt,train,0,34,17,1s5l__I;1s5l__K;1w5c__F;2axt__E;3kzi__H;5v2c__b;5v2c__c;6kac__A;7n8o__L;7n8o__V;7pi0__M;8eqm__t;8eqm__u;8kde__D;8wb4__Z;8wb4__o;8xr6__J
2b2f,train,15,3,1,2b2f__A
2b2h,train,15,3,1,2b2f__A
2b2i,train,15,3,1,2b2f__A
2b2j,train,15,3,1,2b2f__A
2b5f,train,0,4,1,5i32__A
2b6o,train,0,4,1,5i32__A
2b6p,train,0,4,1,5i32__A
2b76,val,11,8,4,1kf6__C;1kf6__D;4ysx__A;5xmj__N
2bbj,train,33,5,1,8tmj__D
2bcc,train,0,9,9,1l0l__H;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
2bg9,test,5,5,1,7ekp__A
2bhw,train,0,3,1,8j5k__5
2bl2,train,204,10,1,2bl2__A
2bnp,test,2,3,2,1aig__L;8zk2__H
2bns,test,2,3,2,1aig__L;8zk2__H
2bob,val,6,4,1,4msw__C
2boc,val,6,4,1,4msw__C
2boz,test,2,3,2,1aig__L;8zk2__H
2brd,test,3,3,1,8rss__A
2bs2,val,11,6,3,4ysx__A;5xmj__N;5xmj__O
2bs3,val,11,6,3,4ysx__A;5xmj__N;5xmj__O
2bs4,val,11,6,3,4ysx__A;5xmj__N;5xmj__O
2c32,train,0,4,1,5i32__A
2cyd,train,204,10,1,2bl2__A
2d2c,train,49,16,8,1vf5__E;1vf5__G;1vf5__S;2e74__B;2e74__H;6rqf__K;7r0w__D;7r0w__I
2d57,train,0,4,1,5i32__A
2db4,train,204,10,1,2bl2__A
2dhh,train,0,3,1,7cz9__C
2dr6,train,0,3,1,7cz9__C
2drd,train,0,3,1,7cz9__C
2dwd,val,6,4,1,4msw__C
2dwe,val,6,4,1,4msw__C
2dyr,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2dys,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2e74,train,49,16,8,1vf5__E;1vf5__S;2e74__B;2e74__H;2zt9__G;6rqf__K;7r0w__D;7r0w__I
2e75,train,49,16,8,1vf5__E;1vf5__S;2e74__B;2e74__H;2zt9__G;6rqf__K;7r0w__D;7r0w__I
2e76,train,49,16,8,1vf5__E;1vf5__S;2e74__B;2e74__H;2zt9__G;6rqf__K;7r0w__D;7r0w__I
2ei4,test,3,3,1,8rss__A
2eij,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2eik,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2eil,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2eim,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2ein,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2evu,train,0,4,1,5i32__A
2exw,val,13,2,1,6lsc__B
2exy,val,13,2,1,6lsc__B
2ez0,val,13,2,1,6lsc__B
2f2b,train,0,4,1,5i32__A
2f93,test,3,4,2,7zcm__B;8rss__A
2f95,test,3,4,2,7zcm__B;8rss__A
2fbw,val,11,4,4,1yq3__C;1yq3__D;4ysx__A;6lum__Q
2fec,val,13,2,1,6lsc__B
2fed,val,13,2,1,6lsc__B
2fee,val,13,2,1,6lsc__B
2fkw,test,2,18,2,1kzu__B;8z81__a
2fyn,train,0,6,3,3cwb__C;3cx5__D;8asi__E
2fyu,train,0,11,11,1l0l__H;1l0l__I;1sqq__K;3cwb__C;3cx5__D;7jrg__A;8asi__E;8p65__B;8p65__F;8p65__G;8p65__J
2gif,train,0,3,1,7cz9__C
2gmr,test,2,3,2,1aig__L;8zk2__H
2gnu,test,2,3,2,1aig__L;8zk2__H
2gsm,train,0,2,2,1fft__A;1occ__B
2h2p,val,13,2,1,6lsc__B
2h2s,val,13,2,1,6lsc__B
2h88,val,11,4,4,1yq3__C;1yq3__D;4ysx__A;6lum__Q
2h89,val,11,4,4,1yq3__C;1yq3__D;4ysx__A;6lum__Q
2h8a,train,277,3,1,5i9k__A
2h8p,val,6,4,1,4msw__C
2hac,train,0,2,1,7phr__Z
2hfe,val,6,4,1,4msw__C
2hg3,test,2,3,2,1aig__L;8zk2__H
2hg5,val,6,4,1,4msw__C
2hg9,test,2,3,2,1aig__L;8zk2__H
2hh1,test,2,3,2,1aig__L;8zk2__H
2hhk,test,2,3,2,1aig__L;8zk2__H
2hi7,train,232,2,2,2hi7__A;2zuq__A
2hit,test,2,3,2,1aig__L;8zk2__H
2hj6,test,2,3,2,1aig__L;8zk2__H
2hjf,val,6,4,1,4msw__C
2hlf,val,13,2,1,6lsc__B
2hn2,train,33,5,1,8tmj__D
2hqc,train,0,3,1,7cz9__C
2hqd,train,0,3,1,7cz9__C
2hqf,train,0,3,1,7cz9__C
2hqg,train,0,3,1,7cz9__C
2hrt,train,0,3,1,7cz9__C
2ht2,val,13,2,1,6lsc__B
2ht3,val,13,2,1,6lsc__B
2ht4,val,13,2,1,6lsc__B
2htk,val,13,2,1,6lsc__B
2htl,val,13,2,1,6lsc__B
2hvj,val,6,4,1,4msw__C
2hvk,val,6,4,1,4msw__C
2hyd,test,4,2,1,7zo8__A
2hyn,train,233,5,1,1n7l__A
2i1x,test,3,3,1,8rss__A
2i20,test,3,3,1,8rss__A
2i21,test,3,3,1,8rss__A
2i5n,test,2,4,3,1aig__L;7c9r__C;8zk2__H
2i68,train,548,2,1,2i68__B
2i6w,train,0,3,1,7cz9__C
2ibz,train,0,11,11,1ezv__B;3cwb__C;3cx5__D;3cx5__G;5eul__V;7jrg__H;7rja__F;7rje__A;8ab6__I;8asi__E;8dwy__L
2ih1,val,6,4,1,4msw__C
2ih3,val,6,4,1,4msw__C
2irv,train,145,3,1,3odj__A
2itc,val,6,4,1,4msw__C
2itd,val,6,4,1,4msw__C
2iub,train,33,5,1,8tmj__D
2j58,train,547,8,1,2j58__A
2j5d,train,546,2,1,2j5d__B
2j7a,train,385,2,2,2j7a__B;2vr0__C
2j8c,test,2,3,2,1aig__L;8zk2__H
2j8d,test,2,3,2,1aig__L;8zk2__H
2j8s,train,0,5,2,5jmn__D;7cz9__C
2jaf,test,3,3,1,8rss__A
2jag,test,3,3,1,8rss__A
2jbl,test,2,4,3,1aig__L;7c9r__C;8zk2__H
2jiy,test,2,3,2,1aig__L;8zk2__H
2jj0,test,2,3,2,1aig__L;8zk2__H
2jk5,val,6,4,1,4msw__C
2jwa,train,276,2,1,2jwa__A
2k1k,train,384,2,1,2k1k__A
2k1l,train,384,2,1,2k1k__A
2k9j,train,275,2,2,2k1a__A;8rpq__A
2ka1,train,383,2,1,2ka1__A
2ka2,train,383,2,1,2ka1__A
2kdc,train,48,3,1,7dvm__A
2kih,train,164,4,1,2l0j__A
2kix,train,203,4,1,2kix__A
2kpe,train,382,2,1,5eh4__A
2kqt,train,57,4,1,2ly0__A
2ks1,train,276,2,2,2jwa__A;2ks1__B
2kwx,train,164,4,1,2l0j__A
2kyv,train,233,5,1,1n7l__A
2l0j,train,164,4,1,2l0j__A
2l2t,train,381,2,1,2l2t__A
2l34,train,274,2,1,2l34__A
2l35,train,274,2,2,2l34__A;2l35__A
2lcx,train,381,2,1,2l2t__A
2leg,train,232,2,2,2hi7__A;2zuq__A
2ljb,train,203,4,1,2kix__A
2ljc,train,203,4,1,2kix__A
2loh,train,545,2,1,2lp1__A
2ly0,train,57,4,1,2ly0__A
2lz3,train,0,2,1,6iyc__E
2lz4,train,0,2,1,6iyc__E
2lzs,train,544,9,1,2lzs__A
2m20,train,380,2,1,2n2a__B
2m3b,train,233,5,1,1n7l__A
2m3g,test,3,3,1,8rss__A
2m59,train,273,2,1,2m59__A
2m6i,train,543,5,1,2m6b__A
2m6x,train,542,6,1,2mts__A
2met,train,273,3,1,2m59__A
2meu,train,273,2,1,2m59__A
2mic,train,541,2,1,2mic__A
2mka,train,540,2,1,2mk9__A
2mom,train,539,3,1,2mof__A
2mpn,train,538,2,1,2mpn__B
2muv,train,57,4,1,2ly0__A
2muw,train,57,4,1,2ly0__A
2n2a,train,380,2,1,2n2a__B
2n70,train,164,4,1,2l0j__A
2n90,train,537,2,1,2n90__B
2n9y,train,275,2,2,2k1a__A;8rpq__A
2na6,train,536,3,1,2na6__A
2na7,train,535,3,1,2na7__A
2nlj,val,6,4,1,4msw__C
2nmr,train,15,3,1,2b2f__A
2nop,train,15,3,1,2b2f__A
2now,train,15,3,1,2b2f__A
2npc,train,15,3,1,2b2f__A
2npd,train,15,3,1,2b2f__A
2npe,train,15,3,1,2b2f__A
2npg,train,15,3,1,2b2f__A
2npj,train,15,3,1,2b2f__A
2npk,train,15,3,1,2b2f__A
2nq2,test,8,4,2,4g1u__B;5xu1__A
2nrf,train,145,3,1,3odj__A
2ns1,train,15,6,2,2b2f__A;8wm7__F
2ntu,test,3,3,1,8rss__A
2ntw,test,3,3,1,8rss__A
2nuu,train,15,6,2,2b2f__A;8wm7__F
2nwl,train,0,3,1,9bh0__A
2nww,train,0,3,1,9bh0__A
2nwx,train,0,3,1,9bh0__A
2o01,train,0,16,13,1vcr__A;2o01__N;5oy0__L;6tra__E;6zzx__I;6zzy__H;7blz__D;7dz7__G;7lx0__G;7s3d__F;7s3d__J;8j5k__5;8jjr__c
2o9e,train,0,4,1,5i32__A
2o9g,train,0,4,1,5i32__A
2oar,train,534,5,1,2oar__A
2oau,train,42,7,1,7dlu__A
2occ,train,0,26,13,1fft__A;1occ__B;1occ__G;1occ__I;1occ__L;5z62__J;7jro__c;7jrp__e;7o37__m;7thu__D;7thu__K;8q1b__f;8q1b__j
2onj,test,4,2,1,7zo8__A
2onk,train,29,5,3,2onk__B;2onk__E;3d31__D
2p7t,val,6,4,1,4msw__C
2pno,train,20,3,1,6ssw__B
2prc,test,2,4,3,1aig__L;7c9r__C;8zk2__H
2q67,train,14,4,1,2ahz__A
2q68,train,14,4,1,2ahz__A
2q69,train,14,4,1,2ahz__A
2q6a,train,14,4,1,2ahz__A
2q72,train,18,2,1,6yu7__A
2q7m,train,20,3,1,6ssw__B
2q7r,train,20,3,1,6ssw__B
2qb4,train,18,2,1,6yu7__A
2qei,train,18,2,1,6yu7__A
2qi9,test,8,5,3,2qi9__C;2qi9__F;4g1u__B
2qjk,train,0,6,3,3cwb__C;3cx5__D;8asi__E
2qjp,train,0,6,3,3cwb__C;3cx5__D;8asi__E
2qjy,train,0,6,3,3cwb__C;3cx5__D;8asi__E
2qks,train,0,4,1,2qks__A
2qpd,train,23,3,3,1ehk__C;1xme__A;7deg__E
2qpe,train,23,3,3,1ehk__C;1xme__A;7deg__E
2qto,val,6,4,1,4msw__C
2qts,train,38,3,1,6l6p__A
2r6g,train,29,5,4,2r6g__F;3d31__B;3puv__E;7cad__B
2r9h,val,13,2,1,6lsc__B
2r9r,val,6,4,1,5wie__B
2rcr,test,2,3,2,1aig__L;8zk2__H
2rdd,train,0,6,2,2rdd__B;7cz9__C
2rlf,train,164,4,1,2l0j__A
2uuh,train,20,3,1,6ssw__B
2uui,train,20,3,1,6ssw__B
2uws,test,2,3,2,1aig__L;8zk2__H
2uwt,test,2,3,2,1aig__L;8zk2__H
2uwu,test,2,3,2,1aig__L;8zk2__H
2uwv,test,2,3,2,1aig__L;8zk2__H
2uww,test,2,3,2,1aig__L;8zk2__H
2ux3,test,2,3,2,1aig__L;8zk2__H
2ux4,test,2,3,2,1aig__L;8zk2__H
2ux5,test,2,3,2,1aig__L;8zk2__H
2uxj,test,2,3,2,1aig__L;8zk2__H
2uxk,test,2,3,2,1aig__L;8zk2__H
2uxl,test,2,3,2,1aig__L;8zk2__H
2uxm,test,2,3,2,1aig__L;8zk2__H
2v50,train,0,3,1,7cz9__C
2vl0,train,0,5,1,6x3s__E
